,会社情報,採用情報概要,雇用形態,仕事内容,対象となる方,勤務地,給与
101,株式会社ＯＮＥ | ◆年間休日120日＆土日祝休み！/産休・育休取得実績多数！,【管理事務】★年間休日120日・土日祝休み★成長中企業で活躍！ 正社員,正社員,管理部門の一員として、営業部の売上管理や日報の作成といった業務をお任せします。★最初は、簡単な補助業務からスタートします！,≪学歴・経験不問≫★未経験・第二新卒歓迎！◎30歳までの方(若年層の長期キャリア形成を図るため)◎基本的なPCスキルをお持ちの方,≪転勤無し！「新宿駅」「新宿三丁目駅」から歩いてすぐ！≫ 東京都新宿区新宿4-3-25 TOKYU…,月給22万円以上 （みなし残業代32時間相当分／4.8万円を含む） ※経験・能力を考慮の上、決定いたします…
102,株式会社ONE | 【リモートワークOK★土日祝休み★年間休日120日】,インハウスの【SNSマーケター】★SNS・広報に興味のある方歓迎 正社員,正社員,自社およびグループ会社で展開する『SNSマーケター』として幅広く活躍いただきます！,【SNSを通したマーケティングに挑戦したい方】※学歴・経験不問,本社／東京都新宿区新宿4-3-25 TOKYU REIT新宿ビル4階 ≪アクセス≫ ・各線「新宿三…,月給23万円以上 ※経験・能力を考慮の上優遇します ※上記にはみなし残業代45時間分(5.9万円)を含む。超…
103,株式会社ＯＮＥ | オーエヌイー◎今後の案件増加を見据えてクリエイターを募集！,【求人広告クリエイター】★休日や収入、働く場所も自分次第★ 業務委託,業務委託,マイナビ転職をはじめとする求人広告の取材・ライティング・撮影・デザインをお任せします！,≪応募条件≫ライターorデザイナーの経験をお持ちの方(媒体・年数不問)◆学歴不問◎求人業界未経験OK！★求人広告の制作経験者は優遇します！,原則自由 ★取材は、基本的に関東圏内がメインとなります。 ★オフィスに出勤する必要はありません！…,◆完全出来高報酬制 1原稿あたりの単価/8000円〜2万円 ※能力や案件、お任せする媒体・企画に応じて、原…
104,アイリスオーヤマ株式会社 | 【海外を含めグループ全体が成長中！10年でグループ売上2倍！】,女性活躍中!【総合職(ネットショップ運営/カスタマーサポート)】 正社員,正社員,ご希望や適性を考慮し、【ネット通販サイトの運営・管理】もしくは【カスタマーサポート】をお任せします。,【未経験・第二新卒歓迎！】■高卒以上■基本的なPCスキルがあればOK　◎ネット通販でのお買い物が好きな方やネットでお店を出してみたい方は歓迎！,◆アイリス青葉ビル 宮城県仙台市青葉区中央2-1-7 ※仙台駅徒歩5分の好立地！,月給17万円〜27万円 ※給与条件は経験と能力を考慮して決定します。 ※試用期間3ヶ月（待遇の変更なし） …
105,ポールトゥウィン株式会社 | 完全週休2日制(土日祝)/年休120日/東証１部上場/正社員登用,【テストエンジニア】★未経験歓迎★最新コンテンツに携われる！ 契約社員,契約社員,【３カ月程度の研修からスタート！】リリース前のアプリ・ゲーム等の動作をチェックする「テスト業務」を担当　※完全週休2日＆年休120日以上！,◇学歴不問・第二新卒・フリーター・ブランクのありも歓迎◇人柄重視面接◇経験は問いません,＼転勤はありません！／ 【札幌第二スタジオ】 北海道札幌市中央区北二条西2-41　札幌2・2ビル4…,月給17.5万円〜30万円 ※固定残業代（23403円〜40124円/20時間）を含みます。 ※固定残業時間を超過した…
106,株式会社ＯＮＥ | ◎新設の映像部門で活躍！,【映像クリエイター】撮影～編集まで！土日祝休み×年休120日 正社員,正社員,社内・社外向けの映像制作の編集・撮影をメインにお任せします。◎将来的には、企画立案・ディレクションに関わることが可能です！,【映像の撮影 or 編集経験(趣味の方も可)】※企画・ディレクション経験をお持ちの方尚可！,東京都新宿区新宿4-3-25　TOKYU REIT新宿ビル4階 ※リモートワーク可,月給22万円以上：みなし残業代29時間分／3.7万円を含む。 ※給与は経験・能力を考慮の上、決定いたします…
107,株式会社ONE | （オーエヌイー）【組織を拡大中】,【キャリアプランナー(人材紹介・人材派遣）】※未経験者可 正社員,正社員,当社のキャリアプランナーとして、転職希望者と企業の間に立ち、双方にとって最適な転職サポート業務に携わっていただきます。,人材ビジネスで企業情報と求職者情報をしっかり把握できる方。記憶力と好奇心のある方。何事にも興味関心を持ち能動的に動ける方。課題意識のある方。,■新宿支社/東京都新宿区新宿4-3-25 TOKYU REIT新宿ビル4階 【アクセス】 ・各線「…,■総合職：月給25万円以上（みなし残業代6.4万円以上含む） ※転勤あり ■エリア総合職：月給23.5万円以…
108,株式会社ONE | 年間休日は120日・土日祝休みの完全週休2日制・有休の取得率も◎,【Webデザイナー】週一出社！テレワークで制作に集中できます！ 正社員,正社員,クライアント様（直請け案件）や自社の各種Webサイトのデザイン・制作・更新・運用業務に携わって頂きます。,デザインやコーディングの実務経験がある方。環境や条件に左右されず、一定の品質で制作できる方。柔軟性があり、ITリテラシーの高い方。,東京都新宿区新宿4-3-25　TOKYU REIT新宿ビル4階 ☆新宿駅チカのオフィス☆ ■アクセ…,月給23.5万円以上（みなし残業代45時間分／6万円を含む） ※「エリア総合職（転勤なし）」の採用 ※経験…
109,株式会社青木組 | 【設立68年】面接交通費一部支給／引越費用補助／残業月平均20h,未経験からでも大規模な案件を担える！【土木施工管理】 正社員,正社員,【ほぼ100％公共工事で安定性◎】陸上もしくは海上の土木工事施工管理。資材の手配やスケジュール管理などを行います。★大規模な案件も多数！,【未経験歓迎！一生モノのスキルを身につけるチャンス】★スキルアップ応援！資格取得費用は全て会社負担 ◆男女不問 ◎高卒以上 ◎要普免(AT限定可),【U・Iターン歓迎／広島本社はマイカー通勤可】 希望を最大限考慮し、広島本社（広島県尾道市）または…,"【東京本店】 大卒 月給 250,000円〜285,000円＋諸手当 高卒 月給 208,300円〜258,300円＋諸手当 【広島…"
110,ライオンハイジーン株式会社 | 【理想的な衛生管理を実現】未経験OK＊全国募集＊20~30代活躍中,ライオン100％出資会社で活躍！【技術営業】土日祝休／年休124日 正社員,正社員,＊20～30代活躍中＊【明確な人事評価制度あり】◆飲食店や食品工場といったお客様のビジネスを、衛生管理という観点からサポートしていく仕事です。,【未経験OK／第二新卒歓迎】◆普通免許（AT可）◆飲食や食品工場に関する業務経験、設備機器類のメンテナンス経験がある方は歓迎！,全国の各拠点【札幌、仙台、東京、名古屋、大阪、福岡】 ＜本社＞ 東京都墨田区錦糸1-2-1 アルカ…,"月給:19万1,000円以上＋各種手当（営業手当など）＋賞与年3回 ※年齢、経験、能力を考慮の上、優遇しま…"
111,アイリスオーヤマ株式会社 | 【電話・WEB面接も可!】年間休日115日/各種手当・福利厚生も充実,家電・生活用品総合メーカーの【カスタマーサポート】 正社員,正社員,家電・生活用品・食品の総合メーカーとして事業拡大中。自社製品の問合せなどのカスタマーサポート・アフターサポート・クレーム対応をお任せします,【20～50代活躍中☆】何らかのカスタマーサポートの実務経験がある方(業界不問) ★SV経験やマネジメント経験がある方は優遇！,●宮城県仙台市青葉区 ●宮城県角田市 ●岩手県盛岡市 ●山形県山形市 ●福島県福島市 ●埼玉県深谷…,月給17万円〜35万円 ※給与条件は経験と能力を考慮して決定します。 ※試用期間3ヶ月（待遇の変更なし）…
